과목,분류,대상_식별자,질문_제목,질문_내용,답변,추가질문,재답변,날짜
특허법,조문,,실용신안법 pct 도면의 제출관련,안녕하세요 변리사님! 기본서 실용신안법 파트 해당 표에서 특허법 PCT 도면의 제출관련하여 기재되어있는 사항에 관련하여 질문 있습니다! 201조 4항의 경우 국내서면제출기간에 발명의 설명 및 청구범위의 국어번역문을 제출하지 아니하면 그 국제특허출원을 취하한것으로 보고 도면설명부분이나 요약서 번역문을 제출하지 않으면 일반조항 42조 2항 9항의 방식위반이다라고 필기를 해놓았는데 표에 기재되어있는 내용은 194조 4항에 관한 내용인거 같아 혼동이 와서 질문드립니다!,"제201조제5항에 의하여 번역문에 보정의 효과가 부여되고, 번역문이 없으면 어떤 기재인지 알 수 없기 때문에 제42조제9항 위반이 됩니다. 열공하세요~", ,,24.10.08
특허법,조문,,[04조] 실용신안법 시행규칙 제4조,변리사님 안녕하세요? 실용신안법 시행규칙 제4조 제4조(핵산염기 서열 또는 아미노산 서열을 포함한 실용신안등록출원) 연혁 자연법칙을 이용한 기술적 창작으로서 고도한 것은 특허로 등록되어야 할 터인데 핵산염기 서열에 관한 실용신안법 시행규칙 제4조(핵산염기 서열 또는 아미노산 서열을 포함한 실용신안등록출원) 가 있다는 것이 이해가 되지 않습니다. 이런 것을 실용신안으로 출원해도 된다는 뜻인가요? //이상,"네, 서열 역시 물품성이 있어서 실용신안보호대상입니다.", ,,24.12.26
특허법,문제,,문제 10번 1번 선지,1번 선지의 행위는 실용신안권을 직접 침해하는 행위이므로 1번 선지는 맞는 선지 아닌가요? 물품에 대한 침해니 침해가 성립하는 걸로 저는 보입니다 (해설에는 간접침해가 아니고 직접 침해라는 내용밖에 앖습니다) 바쁘신 와중에 제 질문에 답해주셔서 감사합니다 박준연 드림,직접침해와 간접침해의 개념을 모르고 있습니다. 직접침해이니 침해로 간주하지 않습니다., ,,25.10.03
특허법,조문,,PCT 도면의 제출,"안녕하세요, 질문하러 왔습니다. 실용신안은 도면이 필수 첨부인데 왜 PCT에서는 도면 미제출시 기준일까지 제출할 기회를 주는 건가요? 발명의 설명이나 청구범위처럼 보완명령하고 출원일 불인정을 해야 하는 거 아닌가요? 좋은 책으로 공부할 수 있게 해주셔서 항상 감사드립니다. 늘 건강하세요!",PCT는 출원절차통일화 조약으로 국내법의 관점에서 생각하면 안 됩니다., ,,25.10.08
,,,,,, ,,
,,,,,, ,,
,,,,,, ,,
,,,,,, ,,
,,,,,, ,,
,,,,,, ,,
,,,,,, ,,
,,,,,, ,,
,,,,,, ,,
,,,,,, ,,
,,,,,, ,,
,,,,,, ,,
,,,,,, ,,
,,,,,, ,,
,,,,,, ,,
,,,,,, ,,
,,,,,, ,,
,,,,,, ,,
,,,,,, ,,
,,,,,, ,,
,,,,,, ,,
,,,,,, ,,
,,,,,, ,,
,,,,,, ,,
,,,,,, ,,
,,,,,, ,,
,,,,,, ,,
,,,,,, ,,
,,,,,, ,,
,,,,,, ,,
,,,,,, ,,
,,,,,, ,,
,,,,,, ,,
,,,,,, ,,
