과목,분류,대상_식별자,질문_제목,질문_내용,답변,추가질문,재답변,날짜
특허법,조문,216조,국내우선권주장출원의 등록 또는 공개시 선출원 공개기술 지위 인정,"안녕하세요? X출원이 국내우선권주장출원의 선출원일 때 X출원일 후 타인의 출원이 있었다면, 제216조에 따라 X출원의 최명도에 공지기술의 지위가 인정되므로 타인의 출원은 확선위반으로 거절되어야 하는 것이 아닌가요? 국내우선권주장출원의 선출원이므로 취하간주된 후에 공지되었기 때문에 확선지위가 없는 것인가요?",확선 지위가 인정되기 위해서는 법 제29조 제3항의 요건을 충족해야 합니다. 선출원은 공지된 것이지 출원공개 또는 등록공고된 것은 아니므로 법 제29조 제3항을 충족하지 못합니다. 열공하세요~,,,20.05.18
특허법,조문,216조,216조 관련 이중우주시 질문드립니다,안녕하세요 질문드립니다 객관식문제 풀다보니 우선권주장기초출원의 최초명세서 도면 기재된발명이 56조따라 취하간주되더라도 우선권주장수반 출원 설정등록시 공개되서 신규성 진보성 판단대상된다는 내용이있는데요 이중우주인경우 최선출원 최명도도 공개되나요?,"선출원이 출원공개/설정등록되면, 법 제216조에 따라 최선출원도 공지기술의 지위를 가지게 됩니다. 열공하세요~", ,,21.05.15
특허법,조문,215조,청구항별 포기,"안녕하세요 변리사님. 청구항 포기에 대해 제가 이해한 것이 맞는지 궁금하여 질문드립니다. 1. 출원중) 원칙적으로 청구항별 포기는 불가하나, 등록료 납부시 청구항별 포기 가능 or 보정기간에 청구항 삭제 보정을 통해 일부취하의 개념으로 포기효과를 가져감. 2. 등록후) 215조 인용조문인 101조1항1호에 의거하여 청구항별 포기 가능. 청구항별 포기에 대해 위와 같이 구성되는것이 맞나요? 제가 잘못알고 있는 부분이 있나요? 감사합니다. 저작자 표시컨텐츠변경비영리",네. 이해하고 있는 부분이 맞습니다., ,,21.09.29
특허법,조문,215조,둘 이상의 청구항이 있는 특허 또는 특허권에 관한 특칙,"215조에서 139조 1항은 어떻게 적용되나요? 이해관계인이 단독 또는 공동으로 무효심판 세가지와 권범심 청구 시 청구항별로 청구할 수 있다는 뜻인가요? 그렇다면 특허무효심판, 권범심은 청구항별 청구가 되지만, 존속기간 연장 등록 무효심판과 정정무효심판은 안되는 것으로 알고있는데.. 이 두 심판도 청구항별 청구가 가능한가요? 감사합니다.","특허무효심판과 권리범위확인심판의 경우 청구항별로 특허가 있으므로 청구항별로 청구취지를 달리한다는 것입니다. 연장등록무효심판과 정정무효심판은 청구항별 청구가 안 되기 때문에, 해당사항이 없습니다. 열공하세요~", ,,22.08.13
특허법,조문,224의 5,"비밀유지명령과 열람청구, 2주일이 경과된 후",[224의5] 비밀유지명령이 있는 소송기록에 대해 열람청구가 있을 경우 청구가 있었던 날부터 2주일이 지날 때까지(그 청구 절차를 밟은 자에 대한 비밀유지명령 신청이 그 기간 내에 이루어진 경우에는 그 신청에 대한 재판이 확정되는 시점까지) 그 청구 절차를 밟은 자에게 제1항의 비밀 기재부분의 열람 등을 하게 하여서는 아니 된다. 라고 함은 2주가 지나도록 청구인에 대한 별도의 비밀유지명령 신청 등이 없다면 열람을 허가해야 한다는 뜻인가?,"네, 맞습니다. 2주일 동안 아무런 조치를 취하지 않았다는 것을 열람을 허가하겠다는 의사로 보겠다는 것입니다. 열공하세요~", ,,23.01.18
특허법,조문,216조,포대복사신청 질문입니다.,"변리사님 안녕하십니까, 216조와 55조 4항과 관련하여 질문드립니다. 55조 4항에서, 후출원이 출원공개되었다면 선출원에 대해서도 출원공개된 것으로 간주한다고 하였는데요, 그렇다면 선출원의 최명도가 후출원 공개시이후부터 공지지위를 가지는 것 외에, 확대된 선출원의 지위도 가진다고 볼 수 있나요?","확선의 지위는 인정되지 않습니다. 제29조 제3항을 보면, 출원공개 또는 등록공고를 요건으로 하는데, 법 제216조에 의한 열람가능은 제64조의 출원공개라고 할 수 없습니다.", ,,23.05.09
특허법,조문,202조,PCT 8조의 해석,"1. PCT(8)(a)의 경우 파리조약에 의하므로 요건과 효과는 조약우주와 동일하다 보나요? 2. PCT(8)(b)의 경우 요건과 효과는 국내우주와 동일하다 보나요? 3. PCT(8)(b)이 적용되는 경우가 자기지정이라면, 자기지정이 아닌경우 가령 후출원이 국내출원인경우, PCT(8)(a)가 적용되고, 요건과 효과는 조약우주와 동일하여, 조약우주에서 확선의 소급효 내용이 없는데 202조가 적용되는 것과 충돌되는 것 같은데 어떻게 이해해야되나요?ㅠㅠ","1. 네 2. 제55조, 제56조, 제202조를 적용하니, 제202조에서 약간의 차이가 발생합니다. 3. 확선의 소급효는 법에 규정이 없더라도 파리조약 4B에 의해 인정됩니다. 충돌되지 않습니다. 열공하세요~", ,,23.12.21
특허법,조문,224조,‘아닌‘의 해석 관련,"224조에서 ‘특허된 것이 아닌 물건, 특허출원 중이 아닌 물건’에서, ‘아닌’의 해석상 ‘타인의 특허를 자신의 특허처럼 표시하는 행위’는 침해죄에는 해당될 수 있으나 224조 위반에는 해당되지 않는다고 보아야하나요?",1. 잘못 이해하고 있네요. 타인의 특허를 자신의 특허처럼 표시하였다고 하여 침해죄에 해당하지 않습니다. 2. 타인이 허위표시한 경우에도 제224조가 적용될 수 있습니다.,"83도1411판결에서 ""특허된 방법을 사용하여 제조하면서도 광고 등에 그 특허가 아닌 다른 특허의 방법을 사용하여 제조하는 것처럼 표시한 경우에는 특허권자의 특허권을 침해하는 행위로써 225조 1항에 해당할지언정 224조4호에 해당한다고는 볼 수 없다.""라는 판례문구는 (물론 판례원문의 조문은 개정전이기는 하지만) 어떻게 이해하면 될까요??",판례도 잘못이해하고 있네요. 특허된 방법을 사용하니 침해라는 판례네요.,25.07.27
특허법,조문,224조의 5,비밀기재부분의 열람을 청구한 자 vs 청구 절차를 밟는 자,"224조의 5 ① 비밀유지명령이 내려진 소송(모든 비밀유지명령이 취소된 소송은 제외한다)에 관한 소송기록에 대하여 「민사소송법」 제163조제1항의 결정이 있었던 경우, 당사자가 같은 항에서 규정하는 비밀 기재부분의 열람 등의 청구를 하였으나 그 청구 절차를 해당 소송에서 비밀유지명령을 받지 아니한 자가 밟은 경우에는 법원서기관, 법원사무관, 법원주사 또는 법원주사보(이하 이 조에서 “법원사무관등”이라 한다)는 「민사소송법」 제163조제1항의 신청을 한 당사자(그 열람 등의 청구를 한 자는 제외한다. 이하 제3항에서 같다)에게 그 청구 직후에 그 열람 등의 청구가 있었다는 사실을 알려야 한다. ② 제1항의 경우에 법원사무관등은 제1항의 청구가 있었던 날부터 2주일이 지날 때까지(그 청구 절차를 밟은 자에 대한 비밀유지명령 신청이 그 기간 내에 이루어진 경우에는 그 신청에 대한 재판이 확정되는 시점까지) 그 청구 절차를 밟은 자에게 제1항의 비밀 기재부분의 열람 등을 하게 하여서는 아니 된다. ③ 제2항은 제1항의 열람 등의 청구를 한 자에게 제1항의 비밀 기재부분의 열람 등을 하게 하는 것에 대하여 「민사소송법」 제163조제1항의 신청을 한 당사자 모두가 동의하는 경우에는 적용되지 아니한다. 질문 1 3항에서 청구 절차를 밟는 것과 다르게 열람 청구(신청) 자체는 당사자만 할 수 있으니 '열람 등의 청구를 한 자'는 당사자; 즉 이미 비밀 유지 명령을 받은 자 아닌가요? 그런데 왜 3항에서는 '열람 등의 청구를 한 자'가 열람 등을 하는 것에 대하여 당사자 모두의 동의가 필요하다고 하나요? 청구 '절차'를 밟는 자가 비밀유지명령을 받지 아니하였을 경우에는, 비밀유지명령을 받았던 당사자가 열람 청구를 한 경우에도 당사자 모두의 동의를 요하는 것인가요? 질문 2 비밀유지명령이 내려진 소송에서 비밀기재부분의 열람을 청구한 당사자는 모두가 항상 비밀유지명령을 받은 자가 맞죠? 질문 3 민사소송법 163조 1항에서는 당사자만 열람 등을 '신청'할 수 있다라고 하는데, 224조의5에서는 열람 등을 '청구'한다고 합니다. 둘이 구분을 해야 하나요? 감사합니다!",1.2. 제1항에서와 같이 그 절차를 비밀유지명령을 받지 아니한 자가 밟을 수 있습니다. 3. 구분하지 않아도 됩니다. 열공하세요~, ,,25.08.01
특허법,조문,202조,pct8(2)(b) 자기지정 해석,"윗 사진은 리담특허법 책, 아래 사진은 강의노트입니다. 리담특허법에는 자기지정이 아닌 케이스가 국내-국내라고 기재되어 있는데 강의노트는 pct(한국,미국, 일본 등)-pct(한국,미국, 일본 등)이라고 되어있어서 헷갈립니다..제가 무엇을 놓치고 있는걸까용...",제202조는 자기지정만 적용되는 것이 아닙니다. 한국이 지정국에 포함되어 있으면 적용되는 조문입니다., ,,25.10.22
특허법,조문,224조의 2,224조의2(불복의 제한),"안녕하세요? 제224조의2(불복의 제한) ① 보정각하결정, 특허여부결정, 특허취소결정, 심결이나 특허취소신청서ㆍ심판청구서ㆍ재심청구서의 각하결정에 대해서는 다른 법률에 따른 불복을 할 수 없으며, 이 법에 따라 불복할 수 없도록 규정되어 있는 처분에 대해서는 다른 법률에 따라 불복을 할 수 없다. 라고 규정하고 있는데, 특허거절결정에 대해서는 불복이 가능 한 것으로 알고 있습니다. 혹 ""특허여부결정""과 ""특허거절결정""이 다른 것인지? 어떤 부분을 잘 못 이해 하고 있는지 궁금 합니다. 감사합니다.","특허여부결정은 거절결정과 특허결정으로 구분됩니다. 거절결정은 제132조의17에 따라 거절결정불복심판청구를 통해 불복할 수 있으며, 제224조의2에서 규정하고 있는 것처럼 특허법이 아닌 다른 법률에 의하여 불복할 수는 없습니다. 열공하세요~ 답글기능 더보기", ,,26.03.28
,,,,,, ,,
,,,,,, ,,
,,,,,, ,,
,,,,,, ,,
,,,,,, ,,
,,,,,, ,,
,,,,,, ,,
,,,,,, ,,
,,,,,, ,,
,,,,,, ,,
,,,,,, ,,
,,,,,, ,,
,,,,,, ,,
,,,,,, ,,
,,,,,, ,,
,,,,,, ,,
,,,,,, ,,
,,,,,, ,,
,,,,,, ,,
,,,,,, ,,
,,,,,, ,,
,,,,,, ,,
,,,,,, ,,
,,,,,, ,,
,,,,,, ,,
,,,,,, ,,
,,,,,, ,,
,,,,,, ,,
,,,,,, ,,
,,,,,, ,,
